Rationale,Catch (2019),F (2019),SSB (2020)*,% SSB change **,% TAC change***,% Advice change^
ICES advice basis,,,,,,
MSY approach (F = FMSY),11 778,0.12,98 331,?4.7%,1.5,1.5
Other scenarios,,,,,,
Fpa,11 778,0.12,98 331,?4.7%,1.5,1.5
F2019 = 0,0,0,109 470,5.1,?100,?100
F2019 = Flim,15 115,0.17,94 070,?9.7,+,51
SSB (2020) = Bpa,36 509,0.43,75 037,?28,239,239
SSB (2020) = Blim,59 023,0.83,54 000,?48%,448%,448%
SSB (2020) = MSY Btrigger,36 509,0.43,75 037,?28,239,239
F2019 = Fsq,3 076,0.03,106 559,2.30%,?71%,?71%
