"","X","Year","recruitment","high_recruitment","low_recruitment","low_SSB","SSB","high_SSB","catches","landings","discards","low_F","F","high_F","StockPublishNote","Purpose","Fage","fishstock","recruitment_age","AssessmentYear","units","stockSizeDescription","stockSizeUnits","fishingPressureDescription","fishingPressureUnits","AssessmentKey","StockDatabaseID","StockKey","FLim","Fpa","Bpa","Blim","FMSY","MSYBtrigger","Fmanagement","Bmanagement","RecruitmentAge","RecruitmentLength"
"1",1,1947,58176962,103291371,32767103,3631866,4901246,6614289,581760,581760,NA,0.093,0.134,0.193,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
"2",2,1948,55617030,94125768,32862988,3021355,4057185,5448136,502100,502100,NA,0.095,0.133,0.186,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
"3",3,1949,49130963,82651605,29205138,2970940,3953058,5259840,508500,508500,NA,0.104,0.145,0.202,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
"4",4,1950,68066791,111823109,41432295,2960633,3894205,5122158,491700,491700,NA,0.111,0.153,0.209,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
"5",5,1951,60309488,97717498,37221935,2815849,3685807,4824538,600400,600400,NA,0.137,0.184,0.246,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
"6",6,1952,58351755,93246175,36515464,2797582,3674766,4826992,664400,664400,NA,0.14,0.189,0.255,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
"7",7,1953,60309488,93764230,38791279,2620141,3460764,4571085,698500,698500,NA,0.147,0.198,0.268,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
"8",8,1954,56797337,86775111,37175838,2434641,3236490,4302428,762900,762900,NA,0.163,0.221,0.301,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
"9",9,1955,48690768,73787242,32130092,2391019,3166065,4192342,806400,806400,NA,0.162,0.219,0.296,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
"10",10,1956,35783591,54111647,23663397,2207015,2922646,3870323,675200,675200,NA,0.165,0.221,0.295,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
"11",11,1957,92525977,141112274,60668404,2011489,2655119,3504696,682900,682900,NA,0.176,0.234,0.312,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
"12",12,1958,34243249,51320601,22848527,1642386,2171655,2871483,670500,670500,NA,0.184,0.243,0.322,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
"13",13,1959,39745214,60611063,26062603,2516602,3282120,4280498,784500,784500,NA,0.198,0.261,0.343,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
"14",14,1960,15886814,24423668,10333864,2120334,2749693,3565859,696200,696200,NA,0.176,0.229,0.297,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
"15",15,1961,75678147,115709674,49496138,2054066,2615589,3330617,696700,696700,NA,0.207,0.263,0.334,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
"16",16,1962,34622004,51934029,23080882,1436962,1846865,2373695,627800,627800,NA,0.227,0.29,0.371,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
"17",17,1963,44992214,65531769,30890350,2193512,2766241,3488511,716000,716000,NA,0.163,0.207,0.262,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
"18",18,1964,48013847,69749388,33051609,2080049,2530684,3078946,871200,871200,NA,0.245,0.297,0.36,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
"19",19,1965,23487995,34245468,16109749,1702757,2022814,2403030,1168800,1168800,NA,0.406,0.487,0.584,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
"20",20,1966,23842971,34283954,16581729,1333610,1576945,1864679,895500,895500,NA,0.427,0.503,0.592,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
