Year,Faroe Islands,France,Germany,Norway,E & W,Scotland,Ireland,Russia,Lithuania,Poland,Iceland,Estonia,Spain,Total
1966,0,839,0,450,0,0,0,0,0,,,,,1289
1967,0,0,1043,273,0,0,0,0,0,,,,,1316
1968,0,0,1838,949,0,0,0,0,0,,,,,2787
1969,0,0,309,910,0,0,0,0,0,,,,,1219
1970,0,0,348,2894,0,0,0,0,0,,,,,3242
1971,0,0,1367,572,0,0,0,0,0,,,,,1939
1972,0,696,2730,1217,0,0,0,0,0,,,,,4643
1973,51,18080,3009,4028,4,0,0,0,0,,,,,25172
1974,76,15390,3026,1916,167,0,0,0,0,,,,,20575
1975,19,7147,4469,2549,9,0,0,0,0,0,0,0,,14193
1976,61,15937,1714,1535,1,0,0,0,0,0,0,0,,19248
1977,29,14953,1340,967,560,0,0,12500,0,0,0,0,,30349
1978,433,8922,3242,347,56,0,0,0,0,0,0,0,,13000
1979,1090,6399,1871,448,279,0,0,0,0,0,0,0,,10087
1980,1223,8378,12204,481,0,1,0,0,0,0,0,0,,22287
1981,1529,4243,7146,276,0,1,0,0,0,0,0,0,,13195
1982,2889,4536,3171,216,99,1,0,0,0,0,0,0,,10912
1983,4396,6144,271,606,13,2,0,0,0,0,0,0,,11432
1984,7343,7449,397,243,5,0,0,0,0,0,0,0,,15437
1985,4501,14126,253,323,2,0,0,0,0,0,0,0,,19205
1986,6756,13760,243,248,9,2,0,0,0,0,0,0,,21018
1987,3920,12645,553,298,4,10,0,0,0,0,0,0,,17430
1988,8289,10201,89,237,11,15,0,0,0,0,0,0,0,18842
1989,4388,9952,75,685,0,16,0,0,0,0,0,0,0,15116
1990,1374,10113,115,822,0,3,0,0,0,0,0,0,0,12427
1991,1763,9871,60,412,7,72,0,0,0,0,0,0,0,12185
1992,3858,8895,27,828,6,45,0,0,0,0,0,0,0,13659
1993,2321,7631,181,319,114,220,3,0,0,0,0,0,0,10789
1994,1309,3897,131,313,13,143,74,0,0,0,0,0,437,6317
1995,1769,4121,191,182,92,796,14,0,0,0,0,0,405,7570
1996,1142,4693,99,202,103,1590,0,0,0,0,0,0,702,8531
1997,1145,6219,8,150,1035,1609,10,0,0,0,1,0,190,10367
1998,1166,6867,6,88,485,1762,22,0,0,0,122,0,164,10682
1999,1949,5567,6,152,345,3558,41,0,0,0,610,,178,12406
2000,1677,5724,97,491,588,2320,89,1,0,0,,0,173,11160
2001,1643,3601,13,577,493,4019,819,0,16,0,,85,861,12127
2002,1082,3140,4,629,242,2719,579,3,28,0,0,0,327,8753
2003,2472,3680,1,304,26,677,30,2,29,4,0,5,45,7275
2004,1475,3933,1,52,15,647,20,18,38,1,0,3,19,6222
2005,1655,3072,0,63,11,538,13,15,1,0,0,0,113,5481
2006,1939,2976,0,106,10,478,5,16,2,0,0,0,118,5650
2007,1880,3213,0,253,17,160,2,37,1,0,0,0,85,5648
2008,975,2501,0,110,2,212,0,122,2,0,0,0,16,3940
2009,978,2547,0,83,0,346,0,1,0,0,0,0,166,4121
2010,1539,2453,0,160,0,360,0,0,0,0,0,0,247,4759
2011,1167,1480,0,104,0,74,0,0,0,0,0,0,36,2861
2012,1015,1624,0,102,0,47,0,5,0,0,0,0,238,3031
2013,575,1628,0,132,0,205,0,3,0,0,0,0,45,2588
2014,880,1727,0,53,3,285,0,0,0,0,0,0,1,2949
2015,703,1119,0,366,11,372,0,0,0,0,0,0,177,2748
2016,1113,1410,0,111,0,281,1,0,0,0,0,0,143,3059
2017,854,1044,1,60,1,644,0,0,0,0,0,0,65,2669
