"","Year","recruitment","high_recruitment","low_recruitment","low_SSB","SSB","high_SSB","catches","landings","discards","low_F","F","high_F","StockPublishNote","Purpose","Fage","fishstock","recruitment_age","AssessmentYear","units","stockSizeDescription","stockSizeUnits","fishingPressureDescription","fishingPressureUnits","AssessmentKey","StockKeyLabel","StockDatabaseID","StockKey","FLim","Fpa","Bpa","Blim","FMSY","MSYBtrigger","Fmanagement","Bmanagement","RecruitmentAge","RecruitmentLength"
"1",1974,18113439,NA,NA,NA,1683199,NA,368652,368652,NA,NA,0.185,NA,"Stock published","Advice","3-6","her.27.25-2932",1,2018,"tonnes","SSB","tonnes","F","Year-1",9428,"her.27.25-2932",1662,169115,0.52,0.41,600000,430000,0.22,600000,NA,NA,1,NA
"2",1975,13328497,NA,NA,NA,1577243,NA,354851,354851,NA,NA,0.2,NA,"Stock published","Advice","3-6","her.27.25-2932",1,2018,"tonnes","SSB","tonnes","F","Year-1",9428,"her.27.25-2932",1662,169115,0.52,0.41,600000,430000,0.22,600000,NA,NA,1,NA
"3",1976,26357070,NA,NA,NA,1368713,NA,305420,305420,NA,NA,0.193,NA,"Stock published","Advice","3-6","her.27.25-2932",1,2018,"tonnes","SSB","tonnes","F","Year-1",9428,"her.27.25-2932",1662,169115,0.52,0.41,600000,430000,0.22,600000,NA,NA,1,NA
"4",1977,13398355,NA,NA,NA,1521763,NA,301952,301952,NA,NA,0.189,NA,"Stock published","Advice","3-6","her.27.25-2932",1,2018,"tonnes","SSB","tonnes","F","Year-1",9428,"her.27.25-2932",1662,169115,0.52,0.41,600000,430000,0.22,600000,NA,NA,1,NA
"5",1978,15699258,NA,NA,NA,1441563,NA,278966,278966,NA,NA,0.164,NA,"Stock published","Advice","3-6","her.27.25-2932",1,2018,"tonnes","SSB","tonnes","F","Year-1",9428,"her.27.25-2932",1662,169115,0.52,0.41,600000,430000,0.22,600000,NA,NA,1,NA
"6",1979,12852771,NA,NA,NA,1409790,NA,278182,278182,NA,NA,0.195,NA,"Stock published","Advice","3-6","her.27.25-2932",1,2018,"tonnes","SSB","tonnes","F","Year-1",9428,"her.27.25-2932",1662,169115,0.52,0.41,600000,430000,0.22,600000,NA,NA,1,NA
"7",1980,18709550,NA,NA,NA,1358669,NA,270282,270282,NA,NA,0.187,NA,"Stock published","Advice","3-6","her.27.25-2932",1,2018,"tonnes","SSB","tonnes","F","Year-1",9428,"her.27.25-2932",1662,169115,0.52,0.41,600000,430000,0.22,600000,NA,NA,1,NA
"8",1981,31182196,NA,NA,NA,1288090,NA,293615,293615,NA,NA,0.203,NA,"Stock published","Advice","3-6","her.27.25-2932",1,2018,"tonnes","SSB","tonnes","F","Year-1",9428,"her.27.25-2932",1662,169115,0.52,0.41,600000,430000,0.22,600000,NA,NA,1,NA
"9",1982,29084783,NA,NA,NA,1433825,NA,273134,273134,NA,NA,0.174,NA,"Stock published","Advice","3-6","her.27.25-2932",1,2018,"tonnes","SSB","tonnes","F","Year-1",9428,"her.27.25-2932",1662,169115,0.52,0.41,600000,430000,0.22,600000,NA,NA,1,NA
"10",1983,22117019,NA,NA,NA,1407419,NA,307601,307601,NA,NA,0.224,NA,"Stock published","Advice","3-6","her.27.25-2932",1,2018,"tonnes","SSB","tonnes","F","Year-1",9428,"her.27.25-2932",1662,169115,0.52,0.41,600000,430000,0.22,600000,NA,NA,1,NA
"11",1984,29432137,NA,NA,NA,1320444,NA,277926,277926,NA,NA,0.224,NA,"Stock published","Advice","3-6","her.27.25-2932",1,2018,"tonnes","SSB","tonnes","F","Year-1",9428,"her.27.25-2932",1662,169115,0.52,0.41,600000,430000,0.22,600000,NA,NA,1,NA
"12",1985,22861666,NA,NA,NA,1269393,NA,275760,275760,NA,NA,0.23,NA,"Stock published","Advice","3-6","her.27.25-2932",1,2018,"tonnes","SSB","tonnes","F","Year-1",9428,"her.27.25-2932",1662,169115,0.52,0.41,600000,430000,0.22,600000,NA,NA,1,NA
"13",1986,11512725,NA,NA,NA,1204273,NA,240516,240516,NA,NA,0.202,NA,"Stock published","Advice","3-6","her.27.25-2932",1,2018,"tonnes","SSB","tonnes","F","Year-1",9428,"her.27.25-2932",1662,169115,0.52,0.41,600000,430000,0.22,600000,NA,NA,1,NA
"14",1987,20979742,NA,NA,NA,1148973,NA,248653,248653,NA,NA,0.231,NA,"Stock published","Advice","3-6","her.27.25-2932",1,2018,"tonnes","SSB","tonnes","F","Year-1",9428,"her.27.25-2932",1662,169115,0.52,0.41,600000,430000,0.22,600000,NA,NA,1,NA
"15",1988,9385674,NA,NA,NA,1152968,NA,255734,255734,NA,NA,0.219,NA,"Stock published","Advice","3-6","her.27.25-2932",1,2018,"tonnes","SSB","tonnes","F","Year-1",9428,"her.27.25-2932",1662,169115,0.52,0.41,600000,430000,0.22,600000,NA,NA,1,NA
