Year,Denmark,Finland,Germany,Poland,USSR,Sweden,Total,,,,
1977,11900,33 700,,57200,112814,48700,264314,,,,
1978,13900,38 300,100,61300,113872,55400,282872,,,,
1979,19400,40 400,,70400,100958,71300,302458,,,,
1980,10600,44000,,58300,103002,72500,288402,,,,
1981,14100,42500,1000,51200,93431,72900,275131,,,,
1982,15300,47500,1300,63000,86423,83800,297323,,,,
1983,10500,59100,1000,67100,69059,78600,285359,,,,
1984,6500,54100,,65800,89757,56900,273057,,,,
1985,7600,54200,,72800,95225,42500,272325,,,,
1986,3900,49400,,67800,98773,29700,249573,,,,
1987,4200,50400,,55500,100916,25400,236416,,,,
1988,10800,58100,,57200,106009,33400,265509,,,,
1989,7300,50000,,51800,105017,55400,269517,,,,
1990,4600,26900,,52300,101269,44200,229269,,,,
Year,Denmark,Estonia,Finland,Germany,Latvia,Lithuania,Poland,Russia,,Sweden,Total
1991,6800,27036,18100,,20709,6500,47100,31900,,36500,194645
1992,8100,22264,30000,,12533,4600,39200,29500,,43000,189197
1993,8900,25420,32300,,9576,3000,41100,21600,,66400,208296
1994,11300,26345,38200,3700,9797,4900,46100,16700,,61600,218641
1995,11400,30681,31400,,9328,3600,38700,17000,,47200,189309
1996,12148,35943,31502,,11569,4243,30712,14626,,25909,166652
1997,9397,42585,23749,,10140,3324,26229,12526,,44078,172028
1998,13876,34005,24777,,9972,2368,19344,10520,,70997,185860
1999,6185,35437,17850,,8292,1312,18121,12676,,48866,148739
2000,15786,30135,23330,,6718,1070,23066,14814,,60161,175080
2001,15786,27425,26103,,5217,1639,28358,15797,,29832,150156
2002,4557,21010,25724,291,3917,1537,28510,14168,,29423,129137
2003,5339,13300,14698,3860,3132,2060,26311,13363,,31785,113848
2004,175,10912,14468,4323,2655,1778,22834,6526,,29336,93006
2005,3053,10783,6410,3713,1951,748,18476,7007,,39426,91600
2006,100,13400,9600,3200,3000,1200,16800,7600,,55300,110400
2007,1352,13979,13890,1672,3212,3474,19802,8772,,49879,116030
2008,1250,21581,19134,3358,3520,1749,13331,8551,,53681,126154
2009,1463,19937,23329,1252,4108,3576,18441,11800,,50208,134127
2010,5367,17915,21602,2235,3903,1492,25028,9126,,50037,136706
2011,1848,14924,19229,2730,3432,1997,27998,8471,,36156,116785
2012,1415,11380,18049,896,2637,1847,25472,13044,,26153,101000
2013,3419,12601,18175,1415,3548,1724,20568,10046,,29458,100954
2014,2723,15334,27905,1731,4853,2096,27316,15854,,34888,132700
2015,332,18782,31571,2917,5657,4694,39024,20889,,50568,174433
2016,4040,20097,28852,4340,8362,5184,40990,24179,,56011,192056
2017*,9342,23320,40692,3594,7912,4037,40102,22327,,51191,202517
