Year,Catches of herring from the central Baltic area,,,Central Baltic herring stock catches,
,Central Baltic ,Gulf of Riga ,Total ,Central Baltic,Total catch of 
,herring stock,herring stock,, herring caught in Gulf of Riga,central Baltic herring stock
1977,261900,-,261900,2400,264300
1978,276600,-,276600,6300,282900
1979,297800,-,297800,4700,302500
1980,282700,-,282700,5700,288400
1981,269200,-,269200,5900,275100
1982,292600,-,292600,4700,297300
1983,280600,-,280600,4800,285400
1984,269300,-,269300,3800,273100
1985,267700,-,267700,4600,272300
1986,248300,-,248300,1300,249600
1987,231600,-,231600,4800,236400
1988,262500,-,262500,3000,265500
1989,263600,-,263600,5900,269500
1990,223300,-,223300,6000,229300
1991,188500,-,188500,6100,194600
1992,185700,1300,187000,3500,189200
1993,204000,1200,205200,4300,208300
1994,213600,2100,215700,5000,218600
1995,183200,2400,185600,6100,189300
1996,162300,4300,166600,4400,166700
1997,167700,2900,170600,4300,172000
1998,181800,2800,184600,4100,185900
1999,144400,1900,146300,4300,148700
2000,170500,1900,172400,4600,175100
2001,147300,1200,148500,2900,150200
2002,125600,400,126000,3500,129100
2003,109500,400,109900,4300,113800
2004,89700,200,89900,3300,93000
2005,89300,500,89800,2300,91600
2006,107200,400,107600,3200,110400
2007,114500,100,114600,1500,116000
2008,120100,100,120200,6100,126154
2009,129200,100,129300,4900,134126
2010,131500,400,131900,5200,136706
2011,111300,100,111400,5500,116785
2012,97200,200,97400,3800,100893
2013,96900,300,97200,4100,100954
2014,128200,200,128400,4500,132700
2015,169465,316,169781,4968,174433
2016,187741,289,188029,4315,192056
2017*,198621,234,198855,3896,202517
