"","Year","recruitment","high_recruitment","low_recruitment","low_SSB","SSB","high_SSB","catches","landings","discards","low_F","F","high_F","StockPublishNote","Purpose","Fage","fishstock","recruitment_age","AssessmentYear","units","stockSizeDescription","stockSizeUnits","fishingPressureDescription","fishingPressureUnits","AssessmentKey","StockKeyLabel","StockDatabaseID","StockKey","FLim","Fpa","Bpa","Blim","FMSY","MSYBtrigger","Fmanagement","Bmanagement","RecruitmentAge","RecruitmentLength"
"1",1978,304112,362711,254980,63811,76696,89581,50551,50551,0,0.475,0.52,0.565,"Stock published","Advice",NA,"hke.27.3a46-8abd",NA,2017,"tonnes","SSB","tonnes","F","per year",8988,"hke.27.3a46-8abd",1371,169126,0.87,0.62,45000,32000,0.28,45000,NA,NA,NA,NA
"2",1979,283534,342511,234714,87349,97911,108473,51096,51096,0,0.499,0.55,0.601,"Stock published","Advice",NA,"hke.27.3a46-8abd",NA,2017,"tonnes","SSB","tonnes","F","per year",8988,"hke.27.3a46-8abd",1371,169126,0.87,0.62,45000,32000,0.28,45000,NA,NA,NA,NA
"3",1980,316489,376737,265874,90440,100483,110526,57265,57265,0,0.587,0.65,0.713,"Stock published","Advice",NA,"hke.27.3a46-8abd",NA,2017,"tonnes","SSB","tonnes","F","per year",8988,"hke.27.3a46-8abd",1371,169126,0.87,0.62,45000,32000,0.28,45000,NA,NA,NA,NA
"4",1981,599540,680311,528359,77086,86475,95863,53918,53918,0,0.588,0.67,0.752,"Stock published","Advice",NA,"hke.27.3a46-8abd",NA,2017,"tonnes","SSB","tonnes","F","per year",8988,"hke.27.3a46-8abd",1371,169126,0.87,0.62,45000,32000,0.28,45000,NA,NA,NA,NA
"5",1982,418396,487682,358954,61574,70398,79222,54994,54994,0,0.631,0.69,0.749,"Stock published","Advice",NA,"hke.27.3a46-8abd",NA,2017,"tonnes","SSB","tonnes","F","per year",8988,"hke.27.3a46-8abd",1371,169126,0.87,0.62,45000,32000,0.28,45000,NA,NA,NA,NA
"6",1983,152160,191109,121149,61116,69158,77200,57507,57507,0,0.589,0.63,0.671,"Stock published","Advice",NA,"hke.27.3a46-8abd",NA,2017,"tonnes","SSB","tonnes","F","per year",8988,"hke.27.3a46-8abd",1371,169126,0.87,0.62,45000,32000,0.28,45000,NA,NA,NA,NA
"7",1984,295900,343830,254653,76028,83620,91213,63286,63286,0,0.614,0.67,0.726,"Stock published","Advice",NA,"hke.27.3a46-8abd",NA,2017,"tonnes","SSB","tonnes","F","per year",8988,"hke.27.3a46-8abd",1371,169126,0.87,0.62,45000,32000,0.28,45000,NA,NA,NA,NA
"8",1985,686703,766526,615192,73628,80312,86995,56099,56099,0,0.696,0.8,0.904,"Stock published","Advice",NA,"hke.27.3a46-8abd",NA,2017,"tonnes","SSB","tonnes","F","per year",8988,"hke.27.3a46-8abd",1371,169126,0.87,0.62,45000,32000,0.28,45000,NA,NA,NA,NA
"9",1986,412289,462981,367147,54953,61012,67071,57092,57092,0,0.843,0.91,0.977,"Stock published","Advice",NA,"hke.27.3a46-8abd",NA,2017,"tonnes","SSB","tonnes","F","per year",8988,"hke.27.3a46-8abd",1371,169126,0.87,0.62,45000,32000,0.28,45000,NA,NA,NA,NA
"10",1987,487329,540858,439098,42178,47228,52278,63369,63369,0,0.943,1,1.057,"Stock published","Advice",NA,"hke.27.3a46-8abd",NA,2017,"tonnes","SSB","tonnes","F","per year",8988,"hke.27.3a46-8abd",1371,169126,0.87,0.62,45000,32000,0.28,45000,NA,NA,NA,NA
