Year,Landings*,,,,,,,Discards**,,,,,,Total catches***
,3,4,6,7,8abd,Unn.,Total,3,4,6,7,8abd,Total,
1961,,,-,-,-,95600,95600,,,,,,-,95600
1962,,,-,-,-,86300,86300,,,,,,-,86300
1963,,,-,-,-,86200,86200,,,,,,-,86200
1964,,,-,-,-,76800,76800,,,,,,-,76800
1965,,,-,-,-,64700,64700,,,,,,-,64700
1966,,,-,-,-,60900,60900,,,,,,-,60900
1967,,,-,-,-,62100,62100,,,,,,-,62100
1968,,,-,-,-,62000,62000,,,,,,-,62000
1969,,,-,-,-,54900,54900,,,,,,-,54900
1970,,,-,-,-,64900,64900,,,,,,-,64900
1971,8500,,,19400,23400,0,51300,,,,,,-,51300
1972,9400,,,14900,41200,0,65500,,,,,,-,65500
1973,9500,,,31200,37600,0,78300,,,,,,-,78300
1974,9700,,,28900,34500,0,73100,,,,,,-,73100
1975,11000,,,29200,32500,0,72700,,,,,,-,72700
1976,12900,,,26700,28500,0,68100,,,,,,-,68100
1977,8500,,,21000,24700,0,54200,,,,,,-,54200
1978,8000,,,20300,24500,-2249,50551,,,,,,-,50551
1979,8700,,,17600,27200,-2404,51096,,,,,,-,51096
1980,9700,,,22000,28400,-2835,57265,,,,,,-,57265
1981,8800,,,25600,22300,-2782,53918,,,,,,-,53918
1982,5900,,,25200,26200,-2306,54994,,,,,,-,54994
1983,6200,,,26300,27100,-2093,57507,,,,,,-,57507
1984,9500,,,33000,22900,-2114,63286,,,,,,-,63286
1985,9224,,,27459,21044,-1628,56099,,,,,,-,56099
1986,7320,,,27408,23903,-1539,57092,,,,,,-,57092
1987,7800,,,32900,24700,-2031,63369,,,,,,-,63369
1988,8800,,,30900,26600,-1477,64823,,,,,,-,64823
1989,7375,,,26938,31957,203,66473,,,,,,-,66473
1990,6680,,,23011,34424,-4161,59954,,,,,,-,59954
1991,8328,,,21546,31635,-3380,58129,,,,,,-,58129
1992,8561,,,22475,23465,2116,56617,,,,,,-,56617
1993,8484,,,20465,19849,3346,52144,,,,,,-,52144
1994,5421,,,21080,24727,31,51259,,,,,,*,51259
1995,5335,,,24056,28144,86,57621,,,,,,-,57621
1996,4445,,,24738,18036,-9,47210,,,,,,-,47210
1997,3312,,,18949,20339,-135,42465,,,,,,-,42465
1998,3208,,,18705,13147,0,35060,,,,,,-,35060
1999,4256,,,23955,11604,-1,39814,,,,,,*,39814
2000,4033,,,25991,11998,4,42026,,,,,,*,42026
2001,4367,,,23065,9244,0,36675,,,,,,-,36675
2002,2944,,,21226,15935,0,40105,,,,,,-,40105
2003#,3284,,,25438,14440,0,43162,,,,,,1393,44555
2004#,4438,,,27483,14494,0,46416,,,,,,2614,49029
2005#,5461,,,26623,14467,0,46550,,,,,,4583,51133
2006#,6127,,,24709,10633,0,41469,,,,,,1222,42691
2007#,7017,,,27456,10620,0,45093,,,,,,2165,47258
2008#,10654,,,22834,14334,0,47822,,,,,,3368,51190
2009#,13057,,,25300,20424,0,58781,,,,,,11033,69814
2010#,14187,,,33500,25073,0,72760,,,,,,12118,84878
2011#,18789,,,18574,16604,32000^,87540,,,,,,13903,101443
2012#,22415,,,22166,16716,19300^,85677,,,,,,14870,100547
2013#,292,10684,5232,28500,19900,13100^,77708,313,2942,1545,6583,4059,15400,93108
2014#,348,12077,11415,40536,25552,0^,89928,287,3105,951,4021,1458,9800,99728
2015#,447,14618,7065,44396,28497,0^,95023,93,3444,71,4208,3096,10900,105923
2016#,695,19603,11365,49377,26490,0,107530,142,4189,344,2281,4150,11114,118644
