StockCode,Year,FisheriesGuild,EcoRegion,F,FMSY,SSB,MSYBtrigger,catches,landings,discards,F/Fmsy,SSB/MSYBtrigger
bli-5b67,1995,demersal,Celtic Seas Ecoregion,0.108,0.12,68480,75000,7570,7570,0,0.9,0.913066667
bli-5b67,1995,demersal,Faroes Ecoregion,0.108,0.12,68480,75000,7570,7570,0,0.9,0.913066667
bli-5b67,1995,demersal,Iceland Sea Ecoregion,0.108,0.12,68480,75000,7570,7570,0,0.9,0.913066667
bli-5b67,1995,demersal,Greater North Sea Ecoregion,0.108,0.12,68480,75000,7570,7570,0,0.9,0.913066667
bli-5b67,1995,demersal,Oceanic Northeast Atlantic Ecoregion,0.108,0.12,68480,75000,7570,7570,0,0.9,0.913066667
bli-5b67,1996,demersal,Celtic Seas Ecoregion,0.113,0.12,69287,75000,8531,8531,0,0.941666667,0.923826667
bli-5b67,1996,demersal,Faroes Ecoregion,0.113,0.12,69287,75000,8531,8531,0,0.941666667,0.923826667
bli-5b67,1996,demersal,Iceland Sea Ecoregion,0.113,0.12,69287,75000,8531,8531,0,0.941666667,0.923826667
bli-5b67,1996,demersal,Greater North Sea Ecoregion,0.113,0.12,69287,75000,8531,8531,0,0.941666667,0.923826667
bli-5b67,1996,demersal,Oceanic Northeast Atlantic Ecoregion,0.113,0.12,69287,75000,8531,8531,0,0.941666667,0.923826667
bli-5b67,1997,demersal,Celtic Seas Ecoregion,0.149,0.12,69949,75000,10367,10367,0,1.241666667,0.932653333
bli-5b67,1997,demersal,Faroes Ecoregion,0.149,0.12,69949,75000,10367,10367,0,1.241666667,0.932653333
bli-5b67,1997,demersal,Iceland Sea Ecoregion,0.149,0.12,69949,75000,10367,10367,0,1.241666667,0.932653333
bli-5b67,1997,demersal,Greater North Sea Ecoregion,0.149,0.12,69949,75000,10367,10367,0,1.241666667,0.932653333
bli-5b67,1997,demersal,Oceanic Northeast Atlantic Ecoregion,0.149,0.12,69949,75000,10367,10367,0,1.241666667,0.932653333
bli-5b67,1998,demersal,Celtic Seas Ecoregion,0.15,0.12,68087,75000,10682,10682,0,1.25,0.907826667
bli-5b67,1998,demersal,Faroes Ecoregion,0.15,0.12,68087,75000,10682,10682,0,1.25,0.907826667
bli-5b67,1998,demersal,Iceland Sea Ecoregion,0.15,0.12,68087,75000,10682,10682,0,1.25,0.907826667
bli-5b67,1998,demersal,Greater North Sea Ecoregion,0.15,0.12,68087,75000,10682,10682,0,1.25,0.907826667
bli-5b67,1998,demersal,Oceanic Northeast Atlantic Ecoregion,0.15,0.12,68087,75000,10682,10682,0,1.25,0.907826667
bli-5b67,1999,demersal,Celtic Seas Ecoregion,0.19,0.12,66892,75000,12406,12406,0,1.583333333,0.891893333
bli-5b67,1999,demersal,Faroes Ecoregion,0.19,0.12,66892,75000,12406,12406,0,1.583333333,0.891893333
bli-5b67,1999,demersal,Iceland Sea Ecoregion,0.19,0.12,66892,75000,12406,12406,0,1.583333333,0.891893333
bli-5b67,1999,demersal,Greater North Sea Ecoregion,0.19,0.12,66892,75000,12406,12406,0,1.583333333,0.891893333
bli-5b67,1999,demersal,Oceanic Northeast Atlantic Ecoregion,0.19,0.12,66892,75000,12406,12406,0,1.583333333,0.891893333
bli-5b67,2000,demersal,Celtic Seas Ecoregion,0.192,0.12,63357,75000,11160,11160,0,1.6,0.84476
bli-5b67,2000,demersal,Faroes Ecoregion,0.192,0.12,63357,75000,11160,11160,0,1.6,0.84476
bli-5b67,2000,demersal,Iceland Sea Ecoregion,0.192,0.12,63357,75000,11160,11160,0,1.6,0.84476
bli-5b67,2000,demersal,Greater North Sea Ecoregion,0.192,0.12,63357,75000,11160,11160,0,1.6,0.84476
bli-5b67,2000,demersal,Oceanic Northeast Atlantic Ecoregion,0.192,0.12,63357,75000,11160,11160,0,1.6,0.84476
bli-5b67,2001,demersal,Celtic Seas Ecoregion,0.206,0.12,60646,75000,12127,12127,0,1.716666667,0.808613333
bli-5b67,2001,demersal,Faroes Ecoregion,0.206,0.12,60646,75000,12127,12127,0,1.716666667,0.808613333
bli-5b67,2001,demersal,Iceland Sea Ecoregion,0.206,0.12,60646,75000,12127,12127,0,1.716666667,0.808613333
bli-5b67,2001,demersal,Greater North Sea Ecoregion,0.206,0.12,60646,75000,12127,12127,0,1.716666667,0.808613333
bli-5b67,2001,demersal,Oceanic Northeast Atlantic Ecoregion,0.206,0.12,60646,75000,12127,12127,0,1.716666667,0.808613333
bli-5b67,2002,demersal,Celtic Seas Ecoregion,0.153,0.12,57250,75000,8753,8753,0,1.275,0.763333333
bli-5b67,2002,demersal,Faroes Ecoregion,0.153,0.12,57250,75000,8753,8753,0,1.275,0.763333333
bli-5b67,2002,demersal,Iceland Sea Ecoregion,0.153,0.12,57250,75000,8753,8753,0,1.275,0.763333333
bli-5b67,2002,demersal,Greater North Sea Ecoregion,0.153,0.12,57250,75000,8753,8753,0,1.275,0.763333333
bli-5b67,2002,demersal,Oceanic Northeast Atlantic Ecoregion,0.153,0.12,57250,75000,8753,8753,0,1.275,0.763333333
bli-5b67,2003,demersal,Celtic Seas Ecoregion,0.132,0.12,57208,75000,7275,7275,0,1.1,0.762773333
bli-5b67,2003,demersal,Faroes Ecoregion,0.132,0.12,57208,75000,7275,7275,0,1.1,0.762773333
