Year,UK Scotland,UK Scotland,UK Scotland,UK Scotland,UK Scotland,Other UK & Ireland,Total landings,Total discards*
Year,Nephrops trawl,Other trawl,Creel,Below minimum size (BMS),Subtotal,Other UK & Ireland,Total landings,Total discards*
1981,2320,171,370,0,2861,0,2861, 
1982,2323,105,371,0,2799,0,2799, 
1983,2784,96,317,0,3197,0,3197, 
1984,3449,160,534,0,4143,0,4143, 
1985,3235,117,708,0,4060,0,4060, 
1986,2641,203,537,0,3381,0,3381, 
1987,3459,143,482,0,4084,0,4084, 
1988,3450,148,437,0,4035,0,4035, 
1989,2603,112,490,0,3205,0,3205, 
1990,1941,134,471,0,2546,0,2546,199
1991,2229,126,438,0,2793,0,2793,441
1992,2978,149,432,0,3559,0,3559,353
1993,2699,86,408,0,3193,0,3193,29
1994,2916,246,453,0,3614,0,3614,1637
1995,2940,183,532,0,3655,0,3655,856
1996,2354,148,370,0,2872,0,2872,323
1997,2553,102,391,0,3046,0,3046,286
1998,2023,68,350,0,2441,0,2441,67
1999,2792,56,409,0,3257,0,3257,273
2000,2695,28,524,0,3247,0,3247,100
2001,2649,42,568,0,3259,0,3259,160
2002,2775,79,586,0,3440,0,3440,277
2003,2606,45,618,0,3269,0,3269,299
2004,2391,30,661,0,3082,0,3082,202
2005,2270,23,656,0,2949,0,2949,507
2006,3446,23,697,0,4166,0,4166,757
2007,3361,26,591,0,3978,0,3978,214
2008,3229,13,557,0,3799,0,3799,194
2009,2849,34,613,0,3496,0,3496,327
2010,1783,9,621,0,2413,0,2413,128
2011,2109,17,571,0,2697,0,2697,154
2012,2963,12,565,0,3540,2,3542,213
2013,2356,480,575,0,3411,2,3413,364
2014,2752,13,490,0,3255,2,3257,77
2015,2561,23,418,0,3002,0,3002,143
2016,3039,15,475,0.4**,3529,0,3529,266
2017,2041,45,361,na,2447,1,2448,64
